event_id,temperature,vibration,voltage,failure
0,68.011071,0.960579,3.139693,1
1,59.075181,0.791004,3.211403,0
2,72.408578,1.005279,3.132516,1
3,74.257729,0.176315,2.95778,1
4,51.424385,0.610415,3.348828,0
5,66.317621,0.720911,3.024576,1
6,59.193328,0.342324,3.154644,0
7,75.959509,0.435404,3.319884,0
8,56.974498,0.801693,3.021514,0
9,69.074186,0.410057,3.437207,0
10,68.670646,1.186777,3.422924,1
11,74.005228,2.107851,3.336565,1
12,69.145416,0.21757,3.264685,0
13,78.306998,0.181423,3.416443,0
14,63.831471,0.690833,3.424093,0
15,64.682817,0.602001,3.222956,0
16,71.173302,0.676658,3.099468,1
17,64.007769,1.778396,3.295654,1
18,64.941174,1.651396,3.405009,1
19,71.12012,0.5724,3.32953,0
20,60.514491,0.417627,3.388742,0
21,66.146627,1.299839,3.113938,1
22,68.317582,0.257084,3.145568,0
23,69.734713,0.810563,3.27865,0
24,57.817333,1.009932,3.45239,0
25,74.810647,0.32856,3.323571,0
26,79.242339,2.111925,3.250695,1
27,59.223629,1.702397,3.290786,1
28,62.365342,0.19308,3.272264,0
29,68.119921,0.387751,3.199158,0
30,64.622598,0.574846,3.154768,0
31,61.958901,0.257207,3.162678,0
32,54.913781,0.625406,2.983016,0
33,67.789005,0.798544,3.381861,0
34,66.713871,0.240542,3.540396,0
35,70.625123,0.730149,3.208567,1
36,65.283192,0.658436,3.511771,0
37,71.443402,0.444414,3.470915,0
38,66.733624,1.156691,3.449613,1
39,63.899441,2.20712,3.45511,1
40,75.862572,2.722711,3.093868,1
41,75.352002,0.269697,3.451151,0
42,49.010176,0.93102,3.255755,0
43,60.25536,0.138073,3.125092,0
44,72.55113,0.712876,3.121927,1
45,59.008613,0.313557,3.159065,0
46,71.057803,2.950421,3.459822,1
47,67.873732,0.15172,3.433776,0
48,68.729489,0.57981,3.296135,0
49,61.771347,0.063434,3.176555,0
50,80.002039,0.782372,3.130674,1
51,69.41864,0.782953,3.306912,0
52,72.973106,0.899064,3.392,1
53,77.844611,0.194819,3.298676,0
54,83.497745,2.135956,3.43891,1
55,44.477965,0.924435,3.314979,0
56,65.575877,0.642778,3.360197,0
57,81.76073,0.448195,2.972984,1
58,76.678991,1.508718,3.319827,1
59,65.731941,0.628209,3.572129,0
60,67.473859,0.437287,3.588487,0
61,68.607955,0.550329,3.287965,0
62,64.467165,0.614818,3.319727,0
63,65.881415,0.325276,3.161292,0
64,81.719937,0.567524,3.334458,1
65,59.057453,1.088681,3.25354,0
66,58.595612,0.976065,3.100752,0
67,59.850922,0.93104,3.651405,0
68,62.662948,0.174119,3.566246,0
69,59.521179,0.324915,3.352608,0
70,69.930086,0.959061,3.292769,1
71,67.244273,1.124123,3.406555,1
72,52.824932,1.029724,3.046374,0
73,74.356116,0.659323,3.233157,1
74,73.731567,3.338376,3.159724,1
75,67.495151,0.643627,3.320944,0
76,78.008965,1.662858,3.214671,1
77,66.811374,0.528361,3.066051,0
78,75.148833,0.63529,3.480308,0
79,60.942829,0.870133,3.232127,0
80,69.893554,0.210285,3.444985,0
81,50.908449,1.993859,3.541802,0
82,65.338644,0.235109,3.268418,0
83,62.174368,0.86201,3.231084,0
84,56.734306,1.673335,3.112089,1
85,63.868409,0.720274,3.151088,0
86,58.757992,0.19003,3.458917,0
87,68.031573,0.406425,3.453619,0
88,81.484715,0.35348,3.259089,1
89,73.289075,0.656355,3.291488,1
90,67.081377,0.78557,3.136872,1
91,52.503091,1.253193,2.974855,1
92,77.951165,0.13581,3.166211,0
93,71.414851,0.342884,3.404995,0
94,71.895021,0.28411,2.969619,1
95,65.117669,0.919672,3.328793,0
96,85.173953,0.262007,3.117847,1
97,74.722658,1.412157,3.049722,1
98,80.520115,0.250453,3.105974,1
99,54.443488,0.282141,3.447704,0
100,60.168449,0.07317,3.294437,0
101,67.155873,0.236489,3.293039,0
102,84.800601,0.666982,3.288303,1
103,61.318096,0.714583,3.409099,0
104,70.250075,0.64007,3.129367,1
105,63.061157,0.912312,3.054785,1
106,55.914256,0.420879,2.926451,0
107,69.35885,0.65457,3.232751,0
108,65.572697,0.449397,3.083256,0
109,69.28897,0.66427,3.399421,0
110,72.14408,0.919013,3.368996,1
111,65.664859,1.240189,3.337208,1
112,72.840984,1.782215,3.342098,1
113,76.482903,0.660905,3.367897,1
114,56.332035,0.412858,3.233248,0
115,83.731712,2.313001,3.256526,1
116,61.749877,1.059673,3.319843,0
117,61.048688,0.716184,3.405146,0
118,71.573184,0.569763,3.119533,1
119,73.226046,0.716767,2.994417,1
120,62.601286,0.321678,3.239723,0
121,71.428979,0.4277,3.436224,0
122,66.879171,1.157819,3.606131,0
123,70.813066,0.963028,3.202921,1
124,76.156151,2.843401,3.291288,1
125,80.088833,0.732344,3.126002,1
126,66.216514,1.379256,3.0283,1
127,71.031672,0.402708,3.486926,0
128,72.438597,0.485537,3.256807,0
129,59.795014,0.325371,3.17358,0
130,70.34079,0.300696,3.23677,0
131,62.307023,0.503173,3.702947,0
132,68.569007,0.901349,3.277602,1
133,69.05188,1.08096,3.003678,1
134,73.988864,0.361891,3.338261,0
135,64.985875,1.120088,3.234891,1
136,78.185905,0.734387,3.236573,1
137,74.304678,0.1217,3.231941,0
138,76.60111,0.682259,3.670339,0
139,64.70228,1.831215,3.42084,1
140,85.317828,2.473784,3.423172,1
141,73.739388,0.63364,3.422843,0
142,52.785664,1.013879,3.240565,0
143,64.925832,0.029931,3.345602,0
144,85.818576,0.766287,3.1391,1
145,63.483128,0.80405,3.361646,0
146,70.676287,0.683442,3.286852,0
147,62.487757,0.105807,3.632196,0
148,79.896358,1.302934,3.559695,1
